,wsc_calibre_mm3,taux_remplissage_calibre_pct,segment_id,wse,wse_u,wsc_u_mm3,precip_mm,temp_mean_c,temp_max_c,temp_min_c,humidity_specific_gkg,wind_speed_ms,solar_rad_mj_m2_day
2008-12-22,718.759,63.66333038086802,0.0,210.214,0.009,0.24000000000000002,0.0,9.7,16.13,4.98,5.33,1.8,10.14
2008-12-23,722.717205128205,64.01392428062046,0.0,210.36741025641027,0.008948717948717948,0.23846153846153847,0.0,9.65,16.39,4.01,5.23,1.44,11.67
2008-12-24,726.6754102564103,64.36451818037293,0.0,210.5208205128205,0.008897435897435897,0.23692307692307693,0.0,9.43,14.99,6.06,5.49,1.75,9.08
2008-12-25,730.6336153846153,64.71511208012537,0.0,210.67423076923077,0.008846153846153846,0.2353846153846154,0.0,8.56,13.56,5.85,6.09,1.73,9.55
2008-12-26,734.5918205128205,65.0657059798778,0.0,210.82764102564101,0.008794871794871794,0.23384615384615384,0.0,8.65,15.07,4.71,6.06,2.27,9.55
2008-12-27,738.5500256410255,65.41629987963024,0.0,210.98105128205128,0.008743589743589743,0.2323076923076923,0.55,10.54,19.32,4.49,5.65,1.83,10.06
2008-12-28,742.5082307692307,65.76689377938271,0.0,211.13446153846155,0.008692307692307692,0.23076923076923078,2.65,10.69,15.22,8.2,6.97,3.61,5.27
2008-12-29,746.4664358974359,66.11748767913515,0.0,211.2878717948718,0.00864102564102564,0.22923076923076924,1.98,11.42,17.29,8.17,7.27,1.3,8.75
2008-12-30,750.424641025641,66.46808157888759,0.0,211.44128205128206,0.00858974358974359,0.22769230769230772,0.0,12.63,19.5,8.2,6.73,2.23,10.34
2008-12-31,754.3828461538461,66.81867547864005,0.0,211.5946923076923,0.008538461538461538,0.22615384615384618,23.17,11.68,15.64,8.45,7.62,1.66,3.04
2009-01-01,758.3410512820512,67.1692693783925,0.0,211.74810256410257,0.008487179487179487,0.22461538461538463,9.9,11.88,16.06,9.42,7.73,1.83,7.83
2009-01-02,762.2992564102562,67.51986327814492,0.0,211.9015128205128,0.008435897435897436,0.2230769230769231,3.07,11.37,16.06,8.12,7.27,2.57,4.26
2009-01-03,766.2574615384615,67.87045717789738,0.0,212.05492307692307,0.008384615384615384,0.22153846153846155,20.97,10.67,13.93,8.3,7.73,3.84,4.49
2009-01-04,770.2156666666667,68.22105107764985,0.0,212.20833333333334,0.008333333333333333,0.22,16.25,9.5,12.01,7.51,7.07,3.27,6.73
2009-01-05,774.1738717948717,68.57164497740229,0.0,212.36174358974358,0.008282051282051282,0.21846153846153846,4.76,9.22,12.71,7.73,6.92,2.06,5.39
2009-01-06,778.132076923077,68.92223887715474,0.0,212.51515384615385,0.00823076923076923,0.21692307692307694,8.48,7.84,9.31,6.26,6.59,1.94,4.75
2009-01-07,782.090282051282,69.27283277690717,0.0,212.6685641025641,0.00817948717948718,0.2153846153846154,6.56,5.58,7.68,2.3,5.56,1.98,5.56
2009-01-08,786.048487179487,69.6234266766596,0.0,212.82197435897436,0.008128205128205128,0.21384615384615385,7.27,4.68,6.36,2.64,5.15,3.14,6.34
2009-01-09,790.0066923076922,69.97402057641207,0.0,212.97538461538463,0.008076923076923077,0.2123076923076923,1.44,5.41,10.27,2.69,4.99,1.66,11.01
2009-01-10,793.9648974358975,70.32461447616453,0.0,213.12879487179487,0.008025641025641026,0.2107692307692308,1.4,4.72,8.42,2.33,4.54,1.27,11.25
2009-01-11,797.9231025641025,70.67520837591695,0.0,213.28220512820513,0.007974358974358975,0.20923076923076922,3.51,4.11,9.58,1.45,4.67,2.1,11.27
2009-01-12,801.8813076923077,71.02580227566942,0.0,213.43561538461537,0.007923076923076923,0.2076923076923077,0.48,6.15,11.9,1.21,5.17,1.27,12.5
2009-01-13,805.8395128205127,71.37639617542185,0.0,213.58902564102564,0.007871794871794872,0.20615384615384616,1.31,7.26,13.0,2.52,5.17,2.59,11.23
2009-01-14,809.797717948718,71.72699007517431,0.0,213.7424358974359,0.00782051282051282,0.20461538461538464,2.36,8.44,11.78,4.04,6.15,2.4,8.66
